"","satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes"
"427","satisfied","Loyal Customer",47,"Personal Travel","Eco",1004,0,0,0,2,5,5,5,5,1,4,4,2,3,5,0,0
"428","dissatisfied","Loyal Customer",72,"Business travel","Business",1872,1,5,3,5,1,3,3,3,3,3,1,4,3,3,0,0
"429","dissatisfied","disloyal Customer",26,"Business travel","Eco",2651,2,2,2,2,3,2,3,3,5,1,4,2,4,3,1,0
"430","satisfied","Loyal Customer",48,"Business travel","Business",317,0,0,0,1,4,4,4,2,2,4,4,4,2,4,18,10
"431","satisfied","Loyal Customer",40,"Business travel","Business",3170,4,4,4,4,3,4,4,4,4,4,4,5,4,3,75,58
"432","satisfied","Loyal Customer",16,"Business travel","Business",3093,5,3,5,5,3,3,3,3,3,3,4,3,5,3,5,0
"433","satisfied","Loyal Customer",50,"Business travel","Business",235,3,3,3,3,2,4,4,4,4,4,4,5,4,3,3,0
"434","satisfied","Loyal Customer",25,"Business travel","Business",4505,1,1,1,1,5,5,5,5,4,2,5,4,5,5,0,0
"435","dissatisfied","Loyal Customer",47,"Business travel","Business",1842,3,5,5,5,4,3,2,3,3,4,3,1,3,3,0,0
"436","satisfied","Loyal Customer",35,"Business travel","Business",1793,2,2,2,2,3,4,4,4,4,4,4,5,4,5,0,0
"437","satisfied","Loyal Customer",60,"Personal Travel","Eco Plus",1080,5,5,5,5,4,5,5,4,4,4,4,4,4,3,0,0
"438","dissatisfied","disloyal Customer",27,"Business travel","Eco",1674,2,2,2,2,3,2,4,3,3,3,1,2,3,3,1,3
"439","dissatisfied","disloyal Customer",42,"Business travel","Eco",3781,3,3,3,3,3,5,5,1,1,4,4,5,2,5,2,0
"440","satisfied","disloyal Customer",54,"Business travel","Business",2582,4,4,4,5,5,4,5,5,3,5,4,4,4,5,0,0
"441","satisfied","Loyal Customer",44,"Business travel","Eco",1778,5,4,4,4,5,5,5,5,3,3,3,2,4,5,26,21
"442","satisfied","Loyal Customer",45,"Business travel","Business",1512,2,2,2,2,5,5,4,5,5,5,5,3,5,4,49,29
"443","satisfied","Loyal Customer",46,"Business travel","Business",492,2,2,2,2,1,4,5,5,5,5,5,3,5,2,0,0
"444","satisfied","Loyal Customer",44,"Business travel","Business",635,2,2,2,2,2,4,4,5,5,5,5,4,5,4,0,0
"445","dissatisfied","Loyal Customer",25,"Business travel","Business",4646,1,1,1,1,1,1,1,1,2,5,3,1,3,1,25,21
"446","dissatisfied","Loyal Customer",27,"Business travel","Business",1599,4,3,3,3,4,4,4,4,3,1,3,2,3,4,0,0
"447","satisfied","disloyal Customer",23,"Business travel","Business",2391,5,5,5,3,5,5,5,5,4,5,4,4,4,5,18,46
"448","dissatisfied","Loyal Customer",57,"Personal Travel","Eco",2328,2,5,2,3,2,2,2,2,5,2,3,3,2,2,0,0
"449","dissatisfied","Loyal Customer",30,"Personal Travel","Eco",2458,4,5,4,2,5,4,5,5,4,4,4,4,4,5,58,56
"450","satisfied","Loyal Customer",52,"Personal Travel","Eco",1108,2,2,1,2,2,5,4,5,5,5,5,4,5,4,35,56
"451","satisfied","Loyal Customer",56,"Business travel","Business",283,0,0,0,5,2,4,5,1,1,1,1,3,1,5,1,0
"452","satisfied","Loyal Customer",45,"Business travel","Business",3315,3,3,3,3,4,5,4,5,5,5,5,4,5,5,28,34
"453","satisfied","Loyal Customer",29,"Business travel","Business",2526,5,5,5,5,5,5,5,5,3,4,5,3,5,5,7,11
"454","satisfied","Loyal Customer",34,"Personal Travel","Eco",3120,1,1,1,1,2,4,5,4,4,5,4,1,4,5,0,0
"455","satisfied","Loyal Customer",27,"Personal Travel","Eco",1493,4,4,4,4,2,3,1,4,4,4,4,1,4,1,0,0
"456","dissatisfied","Loyal Customer",44,"Business travel","Business",374,2,3,1,3,5,3,3,2,2,2,2,1,2,1,1,1
"457","dissatisfied","Loyal Customer",59,"Business travel","Eco",81,2,4,4,4,5,3,3,2,2,2,2,3,2,4,0,0
"458","dissatisfied","disloyal Customer",26,"Business travel","Business",1993,4,4,4,4,5,4,5,5,5,4,5,4,5,5,5,0
"459","satisfied","Loyal Customer",35,"Business travel","Eco Plus",2167,5,1,1,1,5,4,5,5,1,1,1,2,5,5,76,110
"460","dissatisfied","disloyal Customer",23,"Business travel","Eco",1654,2,2,2,3,4,2,4,4,1,5,4,3,4,4,2,0
"461","satisfied","Loyal Customer",54,"Business travel","Business",276,5,5,3,5,4,5,4,4,4,4,4,3,4,4,18,15
"462","satisfied","Loyal Customer",50,"Personal Travel","Eco Plus",1009,5,5,5,5,4,4,4,4,3,1,3,1,5,4,3,0
"463","satisfied","Loyal Customer",37,"Business travel","Eco Plus",1666,4,4,4,4,4,4,4,4,5,4,4,1,4,4,5,5
"464","dissatisfied","Loyal Customer",60,"Business travel","Business",3142,2,1,1,1,3,4,3,2,2,2,2,4,2,4,3,0
"465","satisfied","Loyal Customer",21,"Business travel","Business",4527,2,2,2,2,5,5,5,3,2,4,5,5,5,5,153,141
"466","dissatisfied","disloyal Customer",34,"Business travel","Eco",2189,2,2,2,4,4,2,4,4,4,4,4,1,4,4,7,37
"467","satisfied","Loyal Customer",43,"Business travel","Business",1866,2,2,2,2,2,5,4,5,5,5,4,4,5,3,0,0
"468","dissatisfied","Loyal Customer",20,"Personal Travel","Eco Plus",2121,4,5,4,4,3,4,3,3,3,2,4,5,4,3,0,0
"469","satisfied","Loyal Customer",28,"Business travel","Business",3413,2,2,2,2,4,4,4,4,1,1,5,4,3,4,0,0
"470","dissatisfied","Loyal Customer",25,"Business travel","Business",3766,2,1,1,1,2,2,2,2,4,3,3,2,3,2,29,28
"471","dissatisfied","Loyal Customer",17,"Business travel","Eco",1380,2,5,1,1,2,2,1,2,1,5,4,3,4,2,0,0
"472","satisfied","Loyal Customer",43,"Business travel","Eco",941,5,1,3,1,1,3,4,5,5,5,5,4,5,5,0,0
"473","dissatisfied","Loyal Customer",77,"Business travel","Eco Plus",1231,1,4,4,4,1,1,1,1,4,1,3,1,3,1,5,3
"474","satisfied","Loyal Customer",43,"Business travel","Business",2701,5,5,5,5,4,5,5,4,4,4,4,4,4,5,0,4
"475","dissatisfied","disloyal Customer",21,"Business travel","Eco",2380,3,2,2,2,3,2,3,3,2,1,1,2,1,3,33,32
"476","dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1551,1,2,1,2,3,1,2,3,3,5,2,4,2,3,22,16
"477","satisfied","Loyal Customer",58,"Business travel","Business",292,4,4,4,4,3,2,3,4,4,4,4,1,4,2,0,0
"478","dissatisfied","Loyal Customer",24,"Personal Travel","Eco",3576,3,5,3,3,4,3,4,4,1,5,5,3,5,4,0,0
"479","satisfied","Loyal Customer",49,"Business travel","Business",2570,5,5,5,5,3,4,5,4,4,4,4,3,4,4,0,0
"480","satisfied","Loyal Customer",17,"Business travel","Business",5158,2,2,2,2,4,4,4,4,5,2,4,3,4,4,18,7
"481","dissatisfied","Loyal Customer",39,"Personal Travel","Eco",2117,3,3,3,5,3,3,1,3,5,4,5,3,3,3,21,74
"482","satisfied","Loyal Customer",49,"Personal Travel","Eco",1576,3,3,3,3,2,5,5,5,5,4,5,3,5,4,0,23
"483","dissatisfied","disloyal Customer",38,"Business travel","Eco",1231,2,0,2,3,4,2,4,4,5,5,5,1,3,4,0,0
"484","dissatisfied","Loyal Customer",19,"Personal Travel","Eco",4216,3,1,3,1,3,2,3,3,5,1,2,3,2,3,204,177
"485","dissatisfied","disloyal Customer",69,"Business travel","Eco Plus",1819,2,2,2,1,2,2,2,2,2,2,3,4,5,2,0,0
"486","satisfied","Loyal Customer",42,"Business travel","Business",3725,3,3,3,3,4,5,4,5,5,5,5,3,5,5,18,11
"487","dissatisfied","disloyal Customer",34,"Business travel","Business",2184,2,3,3,4,3,2,2,2,4,4,4,2,4,2,138,140
"488","dissatisfied","Loyal Customer",16,"Personal Travel","Business",1144,4,4,4,1,5,4,5,5,3,2,4,3,5,5,81,90
"489","dissatisfied","disloyal Customer",24,"Business travel","Eco",2662,2,2,2,2,3,2,4,3,5,4,4,3,4,3,3,39
"490","dissatisfied","disloyal Customer",39,"Business travel","Business",1971,2,3,3,1,1,3,1,1,4,2,2,3,5,1,6,0
"491","satisfied","Loyal Customer",55,"Business travel","Business",494,4,4,4,4,5,4,5,4,4,4,4,3,4,4,0,0
"492","satisfied","Loyal Customer",50,"Business travel","Eco",2971,5,1,5,1,5,5,5,5,2,2,2,5,4,5,7,32
"493","dissatisfied","Loyal Customer",39,"Business travel","Eco",1622,3,4,4,4,3,3,3,3,2,3,3,2,3,3,0,0
"494","satisfied","Loyal Customer",31,"Business travel","Business",2326,4,4,4,4,5,5,5,5,3,4,4,4,5,5,1,0
"495","satisfied","Loyal Customer",53,"Business travel","Business",1795,4,4,4,4,2,4,4,4,4,4,4,4,4,5,0,0
"496","satisfied","Loyal Customer",46,"Business travel","Eco",588,4,3,3,3,4,4,3,4,4,4,4,1,4,2,0,0
"497","satisfied","Loyal Customer",40,"Business travel","Business",3357,4,4,4,4,2,5,4,4,4,4,4,3,4,3,0,0
"498","satisfied","Loyal Customer",16,"Personal Travel","Eco",1955,5,5,5,5,4,5,5,4,4,4,4,3,4,3,0,0
"499","satisfied","Loyal Customer",37,"Personal Travel","Eco",1747,4,4,4,4,3,4,4,4,4,4,4,3,4,4,0,0
"500","dissatisfied","Loyal Customer",22,"Personal Travel","Eco Plus",1257,3,4,4,5,4,4,4,4,3,4,4,3,5,4,11,6
"501","dissatisfied","Loyal Customer",15,"Personal Travel","Eco",2114,4,5,0,4,5,0,1,5,5,5,4,4,5,5,0,11
"502","satisfied","disloyal Customer",29,"Business travel","Business",2893,5,5,5,4,5,5,3,5,4,2,5,4,5,5,0,0
"503","satisfied","Loyal Customer",32,"Business travel","Business",5693,1,1,1,1,2,2,2,2,4,2,2,5,2,2,0,0
"504","satisfied","Loyal Customer",45,"Business travel","Business",1780,3,3,3,3,5,4,5,3,3,2,3,4,3,5,0,0
"505","satisfied","Loyal Customer",25,"Business travel","Eco",2323,4,3,3,3,4,4,4,4,1,2,4,1,4,4,0,0
"506","satisfied","Loyal Customer",53,"Personal Travel","Eco",2218,5,1,5,2,2,1,2,2,2,3,1,4,1,2,0,0
"507","dissatisfied","Loyal Customer",40,"Business travel","Business",4703,1,0,0,2,0,3,3,4,4,3,3,3,3,3,330,327
"508","dissatisfied","Loyal Customer",18,"Business travel","Business",3765,2,2,2,2,2,2,2,2,3,2,3,2,3,2,0,0
"509","satisfied","Loyal Customer",14,"Personal Travel","Eco",1403,1,1,1,1,3,2,5,5,5,5,5,3,5,2,0,37
"510","dissatisfied","disloyal Customer",11,"Business travel","Eco",1811,2,4,3,4,1,3,4,1,1,1,4,4,3,1,6,0
"511","satisfied","Loyal Customer",59,"Personal Travel","Eco",1278,5,2,4,3,4,4,1,4,4,3,3,4,3,4,0,0
"512","satisfied","Loyal Customer",63,"Personal Travel","Eco",527,2,2,2,2,2,2,2,2,2,1,4,5,3,2,0,0
"513","dissatisfied","Loyal Customer",34,"Business travel","Eco",2988,2,3,3,3,2,3,2,2,4,3,4,2,3,2,14,5
"514","dissatisfied","Loyal Customer",35,"Business travel","Business",1131,3,1,1,1,1,2,2,3,3,3,3,1,3,3,0,0
"515","satisfied","disloyal Customer",24,"Business travel","Eco",2514,5,5,5,1,5,5,5,5,5,4,4,5,4,5,2,0
"516","satisfied","Loyal Customer",26,"Business travel","Business",2365,1,1,1,1,4,4,4,4,3,3,5,4,4,4,0,0
"517","satisfied","Loyal Customer",20,"Personal Travel","Eco",1590,5,5,5,5,3,5,4,4,4,4,4,5,4,3,0,2
"518","satisfied","disloyal Customer",18,"Business travel","Eco",1360,5,0,5,2,1,5,1,1,2,3,4,5,2,1,0,0
"519","dissatisfied","Loyal Customer",53,"Business travel","Business",269,5,2,2,2,2,3,3,5,5,4,5,4,5,3,1,9
"520","satisfied","Loyal Customer",35,"Business travel","Business",1934,3,3,3,3,4,4,4,4,4,4,4,5,4,3,0,0
"521","satisfied","Loyal Customer",36,"Business travel","Business",2605,1,1,1,1,2,5,5,3,3,3,3,5,3,4,12,4
"522","satisfied","Loyal Customer",27,"Business travel","Business",3253,2,2,2,2,5,5,5,5,3,3,5,3,5,5,0,0
"523","dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1438,4,5,0,1,3,0,3,3,5,2,5,4,5,3,0,0
"524","dissatisfied","Loyal Customer",23,"Personal Travel","Eco Plus",2612,3,3,3,3,4,3,4,4,4,5,2,3,3,4,53,44
"525","dissatisfied","Loyal Customer",38,"Business travel","Business",3584,3,1,3,1,1,4,4,3,3,3,3,2,3,4,16,16
"526","satisfied","Loyal Customer",34,"Business travel","Business",279,4,4,3,4,4,4,4,4,4,4,4,5,4,3,36,58
"527","satisfied","Loyal Customer",61,"Business travel","Business",2460,4,4,4,4,4,4,4,5,5,5,5,5,5,4,7,0
"528","dissatisfied","disloyal Customer",40,"Business travel","Business",1192,2,1,1,4,2,1,2,2,2,2,4,1,4,2,0,1
"529","dissatisfied","Loyal Customer",20,"Business travel","Business",2623,3,5,5,5,3,3,3,3,3,3,4,2,3,3,65,56
"530","satisfied","Loyal Customer",34,"Business travel","Business",1195,1,1,1,1,2,5,5,4,4,5,4,4,4,5,109,101
"531","satisfied","Loyal Customer",36,"Business travel","Eco",1967,5,2,2,2,5,5,5,5,2,5,5,5,5,5,0,0
"532","satisfied","Loyal Customer",47,"Business travel","Business",3758,2,2,2,2,1,5,2,4,4,4,4,3,4,3,0,0
"533","dissatisfied","Loyal Customer",11,"Personal Travel","Eco",2326,2,2,2,4,2,1,1,2,3,3,4,1,1,1,186,184
"534","satisfied","Loyal Customer",53,"Business travel","Business",2532,2,2,5,2,1,5,1,5,5,4,5,3,5,5,0,0
"535","satisfied","Loyal Customer",53,"Business travel","Business",238,5,5,5,5,5,4,2,4,4,4,5,2,4,2,0,0
"536","satisfied","Loyal Customer",52,"Business travel","Business",446,2,2,2,2,3,4,4,5,5,5,5,3,5,3,9,5
"537","satisfied","Loyal Customer",50,"Business travel","Business",1622,3,3,3,3,2,5,4,2,2,2,2,3,2,3,6,0
"538","dissatisfied","disloyal Customer",24,"Business travel","Eco",1763,4,4,4,1,2,4,2,2,5,5,4,5,5,2,0,0
"539","dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1067,2,5,2,2,1,2,1,1,3,5,5,3,5,1,0,0
"540","dissatisfied","disloyal Customer",21,"Personal Travel","Eco",1267,3,5,3,3,1,3,1,1,5,2,5,5,4,1,0,0
"541","dissatisfied","disloyal Customer",24,"Business travel","Eco",2204,3,3,3,4,2,3,2,2,3,3,5,3,4,2,2,2
"542","dissatisfied","Loyal Customer",47,"Business travel","Eco",656,2,2,2,2,3,3,3,2,2,2,2,2,2,1,53,33
"543","satisfied","Loyal Customer",37,"Business travel","Business",2630,4,4,4,4,4,4,2,4,4,4,4,3,4,4,0,0
"544","dissatisfied","disloyal Customer",21,"Business travel","Eco",1832,3,4,3,4,2,3,2,2,5,5,5,2,2,2,0,3
"545","satisfied","Loyal Customer",46,"Business travel","Business",3539,2,2,2,2,5,5,4,4,4,4,4,4,4,3,5,0
"546","dissatisfied","Loyal Customer",68,"Business travel","Eco",1666,1,4,4,4,1,1,1,1,1,5,3,1,3,1,54,38
"547","satisfied","Loyal Customer",60,"Business travel","Business",825,4,4,4,4,3,5,5,5,5,5,5,5,5,3,19,13
"548","satisfied","Loyal Customer",32,"Business travel","Business",4740,1,1,1,1,4,5,4,4,4,4,1,5,1,4,0,1
"549","satisfied","Loyal Customer",31,"Personal Travel","Eco",1529,2,2,4,2,5,4,4,5,5,4,5,5,5,5,0,35
"550","dissatisfied","Loyal Customer",16,"Personal Travel","Eco",2599,2,5,2,3,2,2,2,2,3,4,5,4,5,2,0,0
"551","satisfied","disloyal Customer",22,"Business travel","Eco",1050,4,0,4,1,2,4,2,2,4,3,4,4,5,2,0,0
"552","satisfied","disloyal Customer",42,"Business travel","Business",1988,3,3,3,1,5,3,5,5,4,2,4,4,4,5,32,23
"553","dissatisfied","disloyal Customer",47,"Business travel","Eco",1775,4,5,3,3,3,3,5,3,1,4,1,5,5,3,0,0
"554","dissatisfied","disloyal Customer",25,"Business travel","Eco",2164,2,2,2,3,4,2,4,4,2,4,2,1,3,4,2,8
"555","dissatisfied","Loyal Customer",12,"Personal Travel","Eco",1587,1,4,1,4,1,1,1,1,3,4,4,2,3,1,0,0
"556","dissatisfied","Loyal Customer",45,"Business travel","Business",2465,2,5,5,5,1,2,1,4,4,4,2,1,4,1,5,6
"557","satisfied","Loyal Customer",66,"Personal Travel","Eco",625,2,2,2,2,5,4,4,5,5,5,5,5,5,4,41,68
"558","dissatisfied","Loyal Customer",24,"Personal Travel","Eco",2126,4,3,4,2,2,4,1,2,1,5,5,3,3,2,16,14
"559","dissatisfied","disloyal Customer",10,"Business travel","Eco",1867,1,2,2,2,1,2,1,1,1,3,3,3,2,1,16,3
"560","dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1401,4,4,4,5,2,4,2,2,3,3,5,4,5,2,56,48
"561","satisfied","Loyal Customer",22,"Business travel","Business",2435,1,1,1,1,3,3,3,3,3,5,5,5,5,3,0,4
"562","dissatisfied","disloyal Customer",24,"Business travel","Eco",1909,3,3,3,3,5,3,5,5,1,3,3,3,4,5,0,9
"563","dissatisfied","Loyal Customer",14,"Personal Travel","Eco",2016,3,5,3,2,4,3,4,4,3,1,1,5,3,4,0,0
"564","satisfied","Loyal Customer",30,"Personal Travel","Eco",1197,2,2,2,2,5,5,5,5,5,5,5,4,5,3,0,0
"565","satisfied","Loyal Customer",57,"Personal Travel","Eco",332,2,2,2,2,2,5,5,2,2,2,2,4,2,4,10,6
"566","dissatisfied","Loyal Customer",49,"Business travel","Business",3889,1,4,4,4,4,2,2,1,1,1,1,4,1,2,0,0
"567","dissatisfied","Loyal Customer",30,"Personal Travel","Eco",3833,3,4,3,1,1,3,1,1,4,4,3,4,4,1,0,0
"568","satisfied","Loyal Customer",42,"Business travel","Eco",731,5,4,4,4,4,1,5,5,5,5,5,2,5,3,0,0
"569","satisfied","Loyal Customer",43,"Business travel","Business",3113,4,4,3,4,4,4,4,3,3,5,4,4,5,4,133,103
"570","satisfied","Loyal Customer",38,"Business travel","Business",2581,3,3,3,3,4,4,5,2,2,2,2,3,2,4,42,37
"571","satisfied","Loyal Customer",32,"Personal Travel","Eco",1165,5,5,5,3,3,5,3,3,2,4,1,3,4,3,0,0
"572","dissatisfied","Loyal Customer",9,"Personal Travel","Eco",1997,2,5,3,5,2,3,2,2,1,2,5,1,5,2,2,1
"573","dissatisfied","Loyal Customer",26,"Personal Travel","Eco Plus",1884,1,1,1,3,2,1,2,2,3,3,3,4,3,2,0,0
"574","satisfied","Loyal Customer",57,"Business travel","Business",404,5,5,5,5,4,4,5,5,5,5,5,3,5,3,0,0
"575","dissatisfied","Loyal Customer",51,"Personal Travel","Eco",432,4,2,4,4,5,3,4,2,2,4,2,2,2,4,0,0
"576","dissatisfied","disloyal Customer",33,"Business travel","Eco",1686,1,2,1,3,3,1,3,3,4,5,4,1,4,3,40,55
"577","dissatisfied","disloyal Customer",34,"Business travel","Eco",2612,3,2,2,2,1,3,1,1,3,5,4,4,4,1,4,0
"578","dissatisfied","Loyal Customer",65,"Personal Travel","Eco",2006,3,4,3,4,2,3,2,2,5,5,4,5,5,2,0,0
"579","dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1894,3,3,3,5,5,3,4,5,3,2,1,1,2,5,0,0
"580","satisfied","Loyal Customer",18,"Business travel","Business",1796,5,5,5,5,5,5,5,5,3,2,5,4,5,5,0,0
"581","satisfied","Loyal Customer",47,"Business travel","Business",3105,1,1,1,1,2,5,3,4,4,5,4,4,4,5,6,1
"582","dissatisfied","disloyal Customer",46,"Business travel","Eco Plus",2291,2,2,2,5,5,2,5,5,2,4,4,1,3,5,0,0
"583","dissatisfied","Loyal Customer",77,"Business travel","Eco",3262,4,4,4,4,4,4,4,4,1,3,3,4,3,4,190,215
"584","satisfied","Loyal Customer",12,"Personal Travel","Eco",1641,5,5,5,5,3,4,4,4,4,4,4,4,4,5,0,14
"585","satisfied","Loyal Customer",39,"Business travel","Business",2350,5,5,5,5,2,4,5,5,5,5,5,3,5,3,0,0
"586","satisfied","Loyal Customer",32,"Business travel","Business",2459,2,2,2,2,3,3,3,3,4,1,5,1,5,3,4,6
"587","satisfied","Loyal Customer",34,"Personal Travel","Eco",3226,5,4,5,3,5,5,5,5,4,2,3,1,3,5,2,0
"588","satisfied","Loyal Customer",52,"Business travel","Business",1989,4,4,4,4,4,5,5,4,2,5,5,5,4,5,151,225
"589","satisfied","Loyal Customer",58,"Business travel","Business",764,3,3,3,3,5,4,5,4,4,4,4,5,4,4,1,9
"590","dissatisfied","Loyal Customer",67,"Personal Travel","Eco",501,4,1,4,3,2,3,3,3,3,4,3,3,3,3,11,2
"591","satisfied","Loyal Customer",26,"Business travel","Business",1871,2,2,5,2,4,4,4,4,5,4,5,3,5,4,16,16
"592","dissatisfied","disloyal Customer",25,"Business travel","Eco",1450,2,2,2,4,5,2,5,5,3,2,3,3,4,5,0,45
"593","satisfied","Loyal Customer",35,"Business travel","Eco Plus",2327,4,4,4,4,4,5,4,4,3,4,4,2,5,4,0,10
"594","dissatisfied","Loyal Customer",30,"Business travel","Business",3759,4,5,5,5,4,4,4,4,4,5,4,4,4,4,0,0
"595","dissatisfied","Loyal Customer",36,"Business travel","Business",2171,2,4,4,4,5,3,3,2,2,2,2,2,2,1,0,0
"596","satisfied","Loyal Customer",48,"Business travel","Business",1869,3,3,3,3,3,5,5,4,4,4,4,4,4,5,0,0
"597","dissatisfied","Loyal Customer",34,"Personal Travel","Eco",1899,3,5,3,4,2,3,1,2,4,4,3,5,5,2,0,26
"598","satisfied","Loyal Customer",41,"Business travel","Business",652,5,5,5,5,4,4,1,4,4,4,4,5,4,2,0,0
"599","satisfied","Loyal Customer",44,"Business travel","Business",3508,5,5,5,5,3,4,5,4,4,4,4,3,4,3,0,0
"600","dissatisfied","Loyal Customer",29,"Business travel","Business",3399,3,1,1,1,3,3,3,3,2,5,4,2,3,3,0,0
"601","satisfied","Loyal Customer",40,"Business travel","Business",1844,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0
"602","satisfied","Loyal Customer",43,"Business travel","Business",1640,3,3,3,3,2,5,5,4,4,4,4,4,4,5,0,0
"603","satisfied","Loyal Customer",40,"Business travel","Business",981,5,5,5,5,2,4,5,4,4,5,4,3,4,5,0,0
"604","dissatisfied","disloyal Customer",23,"Business travel","Eco",3051,3,3,3,3,4,3,4,4,1,5,4,4,4,4,0,0
"605","dissatisfied","disloyal Customer",39,"Business travel","Eco",2099,2,3,2,2,1,2,1,1,3,4,5,4,1,1,0,0
"606","dissatisfied","Loyal Customer",17,"Personal Travel","Business",1585,2,3,2,3,4,2,4,4,2,4,4,2,3,4,3,5
"607","satisfied","Loyal Customer",10,"Personal Travel","Eco",1725,5,4,5,1,4,4,4,5,5,5,5,4,5,4,9,54
"608","dissatisfied","Loyal Customer",58,"Personal Travel","Eco",2878,1,3,1,4,1,1,1,3,1,3,3,1,1,1,151,162
"609","satisfied","Loyal Customer",67,"Business travel","Business",3454,5,5,5,5,4,5,5,5,5,5,5,4,5,5,27,15
"610","satisfied","Loyal Customer",42,"Personal Travel","Eco",1933,0,5,0,4,4,0,4,4,4,4,5,5,4,4,0,0
"611","dissatisfied","Loyal Customer",56,"Business travel","Business",2120,3,3,3,3,3,3,2,3,3,3,3,4,3,3,62,63
"612","satisfied","disloyal Customer",26,"Business travel","Business",3961,5,5,5,4,1,5,1,1,4,4,4,3,4,1,1,0
"613","dissatisfied","Loyal Customer",51,"Business travel","Business",1935,1,4,4,4,1,3,3,3,3,3,1,3,3,1,0,0
"614","satisfied","disloyal Customer",39,"Business travel","Business",1059,5,5,5,5,1,5,1,1,5,1,5,1,3,1,5,0
"615","satisfied","Loyal Customer",47,"Personal Travel","Eco",791,4,4,4,4,5,2,2,4,4,4,4,3,4,1,0,0
"616","satisfied","Loyal Customer",55,"Business travel","Business",1868,3,3,3,3,4,5,5,5,5,5,5,4,5,3,15,0
"617","dissatisfied","disloyal Customer",47,"Business travel","Eco",1704,4,1,3,4,5,3,1,5,4,4,4,3,4,5,0,1
"618","dissatisfied","Loyal Customer",22,"Business travel","Business",4042,2,2,2,2,2,2,2,2,1,3,4,3,3,2,13,36
"619","satisfied","Loyal Customer",39,"Business travel","Eco",1925,4,5,2,5,4,4,4,4,5,3,3,3,5,4,0,3
"620","satisfied","disloyal Customer",44,"Business travel","Business",1347,5,5,5,3,2,5,2,2,5,2,4,5,5,2,0,0
"621","satisfied","Loyal Customer",33,"Business travel","Business",1410,3,3,3,3,3,4,3,3,3,4,5,4,4,3,53,52
"622","dissatisfied","disloyal Customer",36,"Business travel","Business",2543,3,3,3,4,3,4,1,5,5,4,4,1,3,1,173,163
"623","satisfied","Loyal Customer",49,"Personal Travel","Eco",450,5,3,5,3,3,3,3,5,5,5,5,1,5,3,8,1
"624","satisfied","Loyal Customer",42,"Business travel","Business",3341,3,3,5,3,4,4,4,5,5,5,5,3,5,4,0,0
"625","satisfied","Loyal Customer",43,"Business travel","Business",1643,3,3,3,3,4,4,4,4,4,4,4,4,4,3,0,0
"626","dissatisfied","disloyal Customer",41,"Business travel","Eco",2509,1,1,1,3,1,1,4,1,4,1,3,1,5,1,0,7
"627","satisfied","Loyal Customer",21,"Personal Travel","Eco",1536,4,4,4,4,2,5,4,5,5,5,5,4,5,5,0,0
"628","satisfied","Loyal Customer",47,"Business travel","Business",2451,1,1,1,1,4,4,5,4,4,4,4,4,4,3,9,5
"629","satisfied","Loyal Customer",30,"Personal Travel","Eco Plus",1532,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0
"630","satisfied","Loyal Customer",30,"Business travel","Eco",1502,3,3,3,3,3,4,3,3,1,5,3,3,1,3,0,0
"631","dissatisfied","disloyal Customer",20,"Business travel","Eco",2918,3,3,3,3,4,3,4,4,4,1,4,3,3,4,36,22
"632","dissatisfied","Loyal Customer",69,"Personal Travel","Eco Plus",2384,4,5,4,2,4,4,1,4,1,5,1,2,1,4,0,0
"633","satisfied","disloyal Customer",24,"Business travel","Eco",2442,4,5,5,1,4,4,2,4,3,3,5,3,5,4,0,0
"634","satisfied","Loyal Customer",58,"Business travel","Business",2306,3,3,3,3,3,4,5,4,4,4,4,5,4,4,44,15
"635","dissatisfied","Loyal Customer",34,"Personal Travel","Eco",1491,4,4,4,1,1,4,1,1,3,5,4,4,5,1,0,0
"636","dissatisfied","Loyal Customer",30,"Business travel","Business",5347,2,2,2,2,2,2,2,2,4,2,3,3,3,2,15,12
"637","satisfied","Loyal Customer",40,"Business travel","Business",749,5,5,5,5,4,5,4,5,5,5,5,3,5,3,0,0
"638","satisfied","Loyal Customer",43,"Business travel","Business",996,5,5,5,5,3,5,4,5,5,5,5,4,5,4,0,0
"639","satisfied","Loyal Customer",49,"Business travel","Business",2378,5,5,5,5,3,4,5,4,4,4,4,3,4,3,0,0
"640","dissatisfied","Loyal Customer",53,"Personal Travel","Eco",2761,3,5,3,4,5,3,5,5,4,5,4,5,3,5,0,NA
"641","satisfied","Loyal Customer",39,"Business travel","Business",2687,2,2,4,2,2,4,5,4,4,4,4,3,4,4,0,0
